"time","half","year"
4,"First",2018
44,"First",2018
88,"Second",2018
24,"First",2018
55,"Second",2018
58,"Second",2018
4,"First",2018
54,"Second",2018
93,"Second",2018
45,"First",2018
19,"First",2018
91,"Second",2018
14,"First",2018
81,"Second",2018
58,"Second",2018
81,"Second",2018
62,"Second",2018
59,"Second",2018
7,"First",2018
38,"First",2018
34,"First",2018
18,"First",2018
50,"Second",2018
19,"First",2018
23,"First",2018
32,"First",2018
71,"Second",2018
53,"Second",2018
80,"Second",2018
91,"Second",2018
49,"Second",2018
75,"Second",2018
51,"Second",2018
14,"First",2018
86,"Second",2018
76,"Second",2018
53,"Second",2018
90,"Second",2018
56,"Second",2018
20,"First",2018
50,"Second",2018
91,"Second",2018
97,"Second",2018
5,"First",2018
52,"Second",2018
90,"Second",2018
36,"First",2018
68,"Second",2018
31,"First",2018
88,"Second",2018
56,"Second",2018
93,"Second",2018
35,"First",2018
65,"Second",2018
93,"Second",2018
26,"First",2018
66,"Second",2018
48,"Second",2018
95,"Second",2018
32,"First",2018
93,"Second",2018
96,"Second",2018
50,"Second",2018
62,"Second",2018
74,"Second",2018
47,"Second",2018
69,"Second",2018
75,"Second",2018
35,"First",2018
11,"First",2018
91,"Second",2018
6,"First",2018
51,"Second",2018
16,"First",2018
48,"First",2018
90,"Second",2018
18,"First",2018
93,"Second",2018
8,"First",2018
40,"First",2018
22,"First",2018
46,"First",2018
62,"Second",2018
36,"First",2018
78,"Second",2018
51,"Second",2018
33,"First",2018
51,"Second",2018
66,"Second",2018
39,"First",2018
6,"First",2018
73,"Second",2018
86,"Second",2018
37,"First",2018
60,"Second",2018
34,"First",2018
78,"Second",2018
11,"First",2018
71,"Second",2018
40,"First",2018
70,"Second",2018
75,"Second",2018
59,"Second",2018
74,"Second",2018
13,"First",2018
57,"Second",2018
64,"Second",2018
68,"Second",2018
41,"First",2018
48,"Second",2018
93,"Second",2018
7,"First",2018
62,"Second",2018
55,"Second",2018
12,"First",2018
41,"First",2018
4,"First",2018
1,"First",2018
51,"Second",2018
88,"Second",2018
69,"Second",2018
74,"Second",2018
94,"Second",2018
48,"Second",2018
52,"Second",2018
66,"Second",2018
93,"Second",2018
57,"Second",2018
40,"First",2018
61,"Second",2018
76,"Second",2018
13,"First",2018
31,"First",2018
30,"First",2018
59,"Second",2018
31,"First",2018
115,"Extra",2018
39,"First",2018
101,"Extra",2018
51,"Second",2018
68,"Second",2018
109,"Extra",2018
5,"First",2018
4,"First",2018
82,"Second",2018
18,"First",2018
38,"First",2018
59,"Second",2018
65,"Second",2018
28,"First",2018
69,"Second",2018
12,"First",1970
54,"Second",1970
76,"Second",1970
14,"First",1970
63,"Second",1970
57,"Second",1970
76,"Second",1970
86,"Second",1970
45,"First",1970
46,"Second",1970
58,"Second",1970
83,"Second",1970
51,"Second",1970
74,"Second",1970
14,"First",1970
23,"First",1970
50,"Second",1970
10,"First",1970
53,"Second",1970
56,"Second",1970
90,"Second",1970
65,"Second",1970
24,"First",1970
59,"Second",1970
61,"Second",1970
83,"Second",1970
11,"First",1970
52,"Second",1970
75,"Second",1970
5,"First",1970
59,"Second",1970
19,"First",1970
67,"Second",1970
22,"First",1970
34,"First",1970
84,"Second",1970
50,"Second",1970
50,"Second",1970
55,"Second",1970
73,"Second",1970
13,"First",1970
49,"Second",1970
56,"Second",1970
80,"Second",1970
21,"First",1970
65,"Second",1970
75,"Second",1970
67,"Second",1970
20,"First",1970
27,"First",1970
52,"Second",1970
88,"Second",1970
67,"Second",1970
12,"First",1970
89,"Second",1970
19,"First",1970
26,"First",1970
39,"First",1970
44,"First",1970
40,"First",1970
61,"Second",1970
18,"First",1974
58,"Second",1974
72,"Second",1974
12,"First",1974
34,"First",1974
53,"Second",1974
69,"Second",1974
55,"Second",1974
77,"Second",1974
26,"First",1974
34,"First",1974
8,"First",1974
30,"First",1974
81,"Second",1974
14,"First",1974
18,"First",1974
22,"First",1974
35,"First",1974
61,"Second",1974
65,"Second",1974
88,"Second",1974
81,"Second",1974
12,"First",1974
66,"Second",1974
79,"Second",1974
7,"First",1974
86,"Second",1974
75,"Second",1974
87,"Second",1974
78,"Second",1974
5,"First",1974
44,"First",1974
71,"Second",1974
88,"Second",1974
46,"Second",1974
77,"Second",1974
74,"Second",1974
52,"Second",1974
66,"Second",1974
79,"Second",1974
46,"Second",1974
7,"First",1974
62,"Second",1974
8,"First",1974
60,"Second",1974
66,"Second",1974
20,"First",1974
35,"First",1974
17,"First",1974
87,"Second",1974
18,"First",1974
30,"First",1974
34,"First",1974
50,"Second",1974
31,"First",1974
15,"First",1974
68,"Second",1974
18,"First",1974
55,"Second",1974
63,"Second",1974
38,"First",1974
44,"First",1974
85,"Second",1974
18,"First",1982
83,"Second",1982
55,"Second",1982
58,"Second",1982
61,"Second",1982
68,"Second",1982
76,"Second",1982
83,"Second",1982
60,"Second",1982
61,"Second",1982
67,"Second",1982
54,"Second",1982
68,"Second",1982
21,"First",1982
9,"First",1982
57,"Second",1982
66,"Second",1982
81,"Second",1982
90,"Second",1982
55,"Second",1982
67,"Second",1982
7,"First",1982
31,"First",1982
35,"First",1982
59,"Second",1982
73,"Second",1982
10,"First",1982
62,"Second",1982
4,"First",1982
83,"Second",1982
11,"First",1982
23,"First",1982
54,"Second",1982
50,"Second",1982
69,"Second",1982
72,"Second",1982
76,"Second",1982
70,"Second",1982
64,"Second",1982
26,"First",1982
28,"First",1982
57,"Second",1982
60,"Second",1982
76,"Second",1982
19,"First",1982
76,"Second",1982
27,"First",1982
22,"First",1982
52,"Second",1982
1,"First",1982
67,"Second",1982
83,"Second",1982
24,"First",1982
21,"First",1982
57,"Second",1982
62,"Second",1982
66,"Second",1982
31,"First",1982
43,"First",1982
48,"Second",1982
89,"Second",1982
75,"Second",1982
66,"Second",1982
84,"Second",1982
27,"First",1982
65,"Second",1982
8,"First",1982
14,"First",1982
66,"Second",1982
10,"First",1982
60,"Second",1982
10,"First",1982
88,"Second",1982
47,"Second",1982
76,"Second",1982
89,"Second",1982
34,"First",1982
18,"First",1982
29,"First",1982
32,"First",1982
73,"Second",1982
79,"Second",1982
54,"Second",1982
64,"Second",1982
33,"First",1982
48,"Second",1982
63,"Second",1982
87,"Second",1982
18,"First",1982
24,"First",1982
48,"Second",1982
68,"Second",1982
59,"Second",1982
84,"Second",1982
15,"First",1982
86,"Second",1982
28,"First",1982
31,"First",1982
64,"Second",1982
70,"Second",1982
4,"First",1982
26,"First",1982
53,"Second",1982
48,"Second",1982
50,"Second",1982
75,"Second",1982
82,"Second",1982
57,"Second",1982
67,"Second",1982
83,"Second",1982
89,"Second",1982
11,"First",1982
66,"Second",1982
75,"Second",1982
5,"First",1982
25,"First",1982
74,"Second",1982
12,"First",1982
68,"Second",1982
39,"First",1982
50,"Second",1982
68,"Second",1982
27,"First",1982
75,"Second",1982
33,"First",1982
80,"Second",1982
46,"Second",1982
68,"Second",1982
75,"Second",1982
85,"Second",1986
44,"First",1986
6,"First",1986
46,"Second",1986
18,"First",1986
73,"Second",1986
6,"First",1986
34,"First",1986
70,"Second",1986
11,"First",1986
62,"Second",1986
83,"Second",1986
17,"First",1986
73,"Second",1986
82,"Second",1986
4,"First",1986
77,"Second",1986
45,"First",1986
23,"First",1986
39,"First",1986
35,"First",1986
3,"First",1986
85,"Second",1986
59,"Second",1986
16,"First",1986
21,"First",1986
50,"Second",1986
76,"Second",1986
30,"First",1986
59,"Second",1986
54,"Second",1986
79,"Second",1986
2,"First",1986
4,"First",1986
24,"First",1986
66,"Second",1986
73,"Second",1986
80,"Second",1986
60,"Second",1986
53,"Second",1986
2,"First",1986
75,"Second",1986
29,"First",1986
62,"Second",1986
84,"Second",1986
58,"Second",1986
74,"Second",1986
62,"Second",1986
59,"Second",1986
6,"First",1986
66,"Second",1986
46,"Second",1986
1,"First",1986
18,"First",1986
15,"First",1986
87,"Second",1986
42,"First",1986
15,"First",1986
68,"Second",1986
70,"Second",1986
4,"First",1986
84,"Second",1986
57,"Second",1986
23,"First",1986
49,"Second",1986
18,"First",1986
11,"First",1986
67,"Second",1986
80,"Second",1986
41,"First",1986
52,"Second",1986
88,"Second",1986
45,"First",1986
43,"First",1986
62,"Second",1986
76,"Second",1986
68,"Second",1986
9,"First",1986
14,"First",1986
34,"First",1986
80,"Second",1986
19,"First",1986
26,"First",1986
62,"Second",1986
78,"Second",1990
60,"Second",1990
26,"First",1990
78,"Second",1990
40,"First",1990
50,"Second",1990
93,"Second",1990
11,"First",1990
31,"First",1990
9,"First",1990
78,"Second",1990
49,"Second",1990
63,"Second",1990
83,"Second",1990
67,"Second",1990
41,"First",1990
55,"Second",1990
27,"First",1990
79,"Second",1990
76,"Second",1990
86,"Second",1990
88,"Second",1990
62,"Second",1990
68,"Second",1990
20,"First",1990
29,"First",1990
52,"Second",1990
63,"Second",1990
40,"First",1990
63,"Second",1990
79,"Second",1990
49,"Second",1990
33,"First",1990
86,"Second",1990
11,"First",1990
81,"Second",1990
81,"Second",1990
32,"First",1990
75,"Second",1990
87,"Second",1990
50,"Second",1990
85,"Second",1990
28,"First",1990
64,"Second",1990
39,"First",1990
70,"Second",1990
55,"Second",1990
75,"Second",1990
35,"First",1990
75,"Second",1990
37,"First",1990
47,"Second",1990
58,"Second",1990
46,"Second",1990
88,"Second",1990
93,"Second",1990
5,"First",1990
9,"First",1990
46,"Second",1990
93,"Second",1990
22,"First",1990
53,"Second",1990
64,"Second",1990
15,"First",1990
24,"First",1990
47,"Second",1990
73,"Second",1990
43,"First",1990
23,"First",1990
61,"Second",1990
81,"Second",1990
29,"First",1990
26,"First",1990
38,"First",1990
91,"Second",1990
9,"First",1990
73,"Second",1990
58,"Second",1990
83,"Second",1990
58,"Second",1990
71,"Second",1990
11,"First",1990
44,"First",1994
39,"First",1994
43,"First",1994
15,"First",1994
89,"Second",1994
34,"First",1994
35,"First",1994
16,"First",1994
52,"Second",1994
65,"Second",1994
72,"Second",1994
35,"First",1994
52,"Second",1994
90,"Second",1994
44,"First",1994
90,"Second",1994
18,"First",1994
31,"First",1994
47,"Second",1994
8,"First",1994
75,"Second",1994
26,"First",1994
52,"Second",1994
39,"First",1994
66,"Second",1994
73,"Second",1994
37,"First",1994
59,"Second",1994
81,"Second",1994
4,"First",1994
15,"First",1994
41,"First",1994
44,"First",1994
72,"Second",1994
75,"Second",1994
81,"Second",1994
46,"Second",1994
46,"Second",1994
23,"First",1994
61,"Second",1994
51,"Second",1994
55,"Second",1994
85,"Second",1994
90,"Second",1994
48,"Second",1994
14,"First",1994
67,"Second",1994
19,"First",1994
66,"Second",1994
70,"Second",1994
12,"First",1994
37,"First",1994
20,"First",1994
52,"Second",1994
63,"Second",1994
2,"First",1994
44,"First",1994
90,"Second",1994
60,"Second",1994
21,"First",1994
43,"First",1994
55,"Second",1994
21,"First",1994
28,"First",1994
8,"First",1994
5,"First",1994
55,"Second",1994
65,"Second",1994
90,"Second",1994
61,"Second",1994
93,"Second",1994
47,"First",1994
95,"Second",1994
11,"First",1994
84,"Second",1994
69,"Second",1994
42,"First",1994
65,"Second",1994
84,"Second",1994
48,"Second",1994
57,"Second",1994
11,"First",1994
50,"Second",1994
86,"Second",1994
18,"First",1994
65,"Second",1994
7,"First",1994
45,"First",1994
26,"First",1994
5,"First",1994
47,"Second",1994
43,"First",1994
77,"Second",1994
5,"First",1998
74,"Second",1998
38,"First",1998
37,"First",1998
60,"Second",1998
46,"First",1998
61,"Second",1998
66,"Second",1998
46,"Second",1998
9,"First",1998
47,"First",1998
50,"Second",1998
23,"First",1998
85,"Second",1998
46,"Second",1998
78,"Second",1998
83,"Second",1998
89,"Second",1998
11,"First",1998
84,"Second",1998
48,"First",1998
48,"Second",1998
77,"Second",1998
91,"Second",1998
70,"Second",1998
92,"Second",1998
7,"First",1998
75,"Second",1998
89,"Second",1998
48,"Second",1998
90,"Second",1998
92,"Second",1998
20,"First",1998
56,"Second",1998
69,"Second",1998
36,"First",1998
77,"Second",1998
92,"Second",1998
51,"Second",1998
12,"First",1998
37,"First",1998
78,"Second",1998
68,"Second",1998
85,"Second",1998
12,"First",1998
56,"Second",1998
42,"First",1998
18,"First",1998
93,"Second",1998
47,"First",1998
74,"Second",1998
21,"First",1998
47,"Second",1998
24,"First",1998
73,"Second",1998
78,"Second",1998
28,"First",1998
11,"First",1998
1,"First",1998
58,"Second",1998
86,"Second",1998
6,"First",1998
18,"First",1998
55,"Second",1998
81,"Second",1998
88,"Second",1998
94,"Second",1998
58,"Second",1998
27,"First",1998
50,"Second",1998
75,"Second",1998
84,"Second",1998
42,"First",1998
47,"Second",1998
55,"Second",1998
62,"Second",1998
37,"First",1998
41,"First",1998
71,"Second",1998
80,"Second",1998
83,"Second",1998
4,"First",1998
18,"First",1998
75,"Second",1998
94,"Second",1998
7,"First",1998
72,"Second",1998
73,"Second",1998
10,"First",1998
67,"Second",1998
72,"Second",1998
78,"Second",1998
13,"First",1998
52,"Second",1998
87,"Second",1998
41,"First",1998
83,"Second",1998
50,"Second",1998
57,"Second",1998
3,"First",1998
42,"First",1998
89,"Second",1998
46,"First",1998
82,"Second",1998
46,"Second",1998
90,"Second",1998
81,"Second",1998
20,"First",1998
29,"First",1998
71,"Second",1998
12,"First",1998
30,"First",2002
47,"Second",2002
45,"First",2002
83,"Second",2002
16,"First",2002
52,"Second",2002
22,"First",2002
67,"Second",2002
20,"First",2002
26,"First",2002
38,"First",2002
46,"Second",2002
69,"Second",2002
88,"Second",2002
39,"First",2002
55,"Second",2002
63,"Second",2002
91,"Second",2002
44,"First",2002
74,"Second",2002
87,"Second",2002
82,"Second",2002
53,"Second",2002
69,"Second",2002
83,"Second",2002
10,"First",2002
4,"First",2002
31,"First",2002
53,"Second",2002
4,"First",2002
56,"Second",2002
46,"First",2002
46,"First",2002
65,"Second",2002
84,"Second",2002
73,"Second",2002
50,"Second",2002
87,"Second",2002
47,"First",2002
61,"Second",2002
65,"Second",2002
15,"First",2002
32,"First",2002
45,"First",2002
55,"Second",2002
86,"Second",2002
56,"Second",2002
39,"First",2002
56,"Second",2002
10,"First",2002
13,"First",2002
38,"First",2002
62,"Second",2002
64,"Second",2002
6,"First",2002
9,"First",2002
85,"Second",2002
26,"First",2002
53,"Second",2002
4,"First",2002
29,"First",2002
36,"First",2002
39,"First",2002
71,"Second",2002
78,"Second",2002
24,"First",2002
14,"First",2002
65,"Second",2002
77,"Second",2002
88,"Second",2002
70,"Second",2002
3,"First",2002
5,"First",2002
66,"Second",2002
83,"Second",2002
52,"Second",2002
39,"First",2002
20,"First",2002
25,"First",2002
70,"Second",2002
40,"First",2002
46,"First",2002
73,"Second",2002
84,"Second",2002
91,"Second",2002
19,"First",2002
92,"Second",2002
66,"Second",2002
50,"Second",2002
79,"Second",2002
7,"First",2002
61,"Second",2002
87,"Second",2002
63,"Second",2002
24,"First",2002
59,"Second",2002
35,"First",2002
63,"Second",2002
27,"First",2002
44,"First",2002
59,"Second",2002
88,"Second",2002
60,"Second",2002
7,"First",2002
27,"First",2002
55,"Second",2002
73,"Second",2002
76,"Second",2002
28,"First",2002
57,"Second",2002
5,"First",2002
34,"First",2002
85,"Second",2002
48,"Second",2002
6,"First",2006
17,"First",2006
61,"Second",2006
87,"Second",2006
12,"First",2006
73,"Second",2006
24,"First",2006
80,"Second",2006
91,"Second",2006
8,"First",2006
54,"Second",2006
92,"Second",2006
4,"First",2006
44,"First",2006
57,"Second",2006
25,"First",2006
33,"First",2006
65,"Second",2006
3,"First",2006
83,"Second",2006
91,"Second",2006
89,"Second",2006
51,"Second",2006
90,"Second",2006
34,"First",2006
85,"Second",2006
25,"First",2006
86,"Second",2006
24,"First",2006
38,"First",2006
82,"Second",2006
18,"First",2006
6,"First",2006
41,"First",2006
31,"First",2006
78,"Second",2006
84,"Second",2006
88,"Second",2006
23,"First",2006
27,"First",2006
39,"First",2006
37,"First",2006
67,"Second",2006
86,"Second",2006
10,"First",2006
20,"First",2006
28,"First",2006
76,"Second",2006
79,"Second",2006
36,"First",2006
4,"First",2006
63,"Second",2006
80,"Second",2006
6,"First",2006
24,"First",2006
29,"First",2006
75,"Second",2006
60,"Second",2006
5,"First",2006
36,"First",2006
76,"Second",2006
40,"First",2006
83,"Second",2006
2,"First",2006
82,"Second",2006
22,"First",2006
27,"First",2006
26,"First",2006
87,"Second",2006
22,"First",2006
47,"First",2006
43,"First",2006
84,"Second",2006
89,"Second",2006
92,"Second",2006
26,"First",2006
44,"First",2006
49,"Second",2006
90,"Second",2006
34,"First",2006
46,"First",2006
81,"Second",2006
53,"Second",2006
59,"Second",2006
2,"First",2006
56,"Second",2006
38,"First",2006
79,"Second",2006
54,"Second",2006
72,"Second",2006
31,"First",2006
9,"First",2006
81,"Second",2006
16,"First",2006
88,"Second",2006
55,"Second",2006
61,"Second",2006
23,"First",2006
77,"Second",2006
55,"Second",2010
79,"Second",2010
24,"First",2010
80,"Second",2010
95,"Second",2010
64,"Second",2010
79,"Second",2010
43,"First",2010
70,"Second",2010
20,"First",2010
37,"First",2010
7,"First",2010
52,"Second",2010
6,"First",2010
17,"First",2010
33,"First",2010
76,"Second",2010
80,"Second",2010
46,"First",2010
44,"First",2010
71,"Second",2010
16,"First",2010
12,"First",2010
69,"Second",2010
38,"First",2010
49,"Second",2010
77,"Second",2010
89,"Second",2010
4,"First",2010
40,"First",2010
79,"Second",2010
13,"First",2010
42,"First",2010
48,"Second",2010
82,"Second",2010
23,"First",2010
91,"Second",2010
85,"Second",2010
8,"First",2010
26,"First",2010
68,"Second",2010
70,"Second",2010
38,"First",2010
25,"First",2010
11,"First",2010
60,"Second",2010
69,"Second",2010
73,"Second",2010
84,"Second",2010
46,"Second",2010
85,"Second",2010
39,"First",2010
53,"Second",2010
10,"First",2010
33,"First",2010
61,"Second",2010
81,"Second",2010
17,"First",2010
30,"First",2010
87,"Second",2010
65,"Second",2010
36,"First",2010
83,"Second",2010
63,"Second",2010
39,"First",2010
93,"Second",2010
50,"Second",2010
27,"First",2010
86,"Second",2010
29,"First",2010
7,"First",2010
25,"First",2010
73,"Second",2010
89,"Second",2010
81,"Second",2010
92,"Second",2010
55,"Second",2010
72,"Second",2010
89,"Second",2010
25,"First",2010
50,"Second",2010
62,"Second",2010
79,"Second",2010
29,"First",2010
53,"Second",2010
56,"Second",2010
60,"Second",2010
89,"Second",2010
81,"Second",2010
87,"Second",2010
14,"First",2010
20,"First",2010
82,"Second",2010
29,"First",2014
71,"Second",2014
91,"Second",2014
11,"First",2014
61,"Second",2014
11,"First",2014
48,"Second",2014
61,"Second",2014
73,"Second",2014
26,"First",2014
17,"First",2014
35,"First",2014
49,"Second",2014
84,"Second",2014
87,"Second",2014
72,"Second",2014
75,"Second",2014
82,"Second",2014
27,"First",2014
44,"First",2014
72,"Second",2014
53,"Second",2014
80,"Second",2014
64,"Second",2014
12,"First",2014
14,"First",2014
92,"Second",2014
35,"First",2014
21,"First",2014
54,"Second",2014
20,"First",2014
58,"Second",2014
68,"Second",2014
20,"First",2014
43,"First",2014
36,"First",2014
69,"Second",2014
82,"Second",2014
77,"Second",2014
92,"Second",2014
5,"First",2014
58,"Second",2014
93,"Second",2014
64,"Second",2014
66,"Second",2014
16,"First",2014
64,"Second",2014
70,"Second",2014
73,"Second",2014
46,"First",2014
17,"First",2014
55,"Second",2014
82,"Second",2014
90,"Second",2014
42,"First",2014
93,"Second",2014
74,"Second",2014
24,"First",2014
54,"Second",2014
57,"Second",2014
84,"Second",2014
37,"First",2014
35,"First",2014
50,"Second",2014
39,"First",2014
85,"Second",2014
75,"Second",2014
44,"First",2014
81,"Second",2014
48,"Second",2014
93,"Second",2014
22,"First",2014
45,"First",2014
72,"Second",2014
48,"Second",2014
81,"Second",2014
87,"Second",2014
17,"First",2014
18,"First",2014
40,"First",2014
67,"Second",2014
73,"Second",2014
31,"First",2014
34,"First",2014
65,"Second",2014
6,"First",2014
31,"First",2014
71,"Second",2014
3,"First",2014
65,"Second",2014
85,"Second",2014
91,"Second",2014
29,"First",2014
4,"First",2014
47,"Second",2014
3,"First",2014
46,"First",2014
50,"Second",2014
23,"First",2014
59,"Second",2014
83,"Second",2014
82,"Second",2014
12,"First",2014
46,"First",2014
78,"Second",2014
32,"First",2014
82,"Second",2014
1,"First",2014
86,"Second",2014
51,"Second",2014
71,"Second",2014
54,"Second",2014
63,"Second",2014
64,"Second",2014
81,"Second",2014
5,"First",2014
95,"Second",2014
55,"Second",2014
31,"First",2014
80,"Second",2014
57,"Second",2014
28,"First",1998
45,"First",1998
27,"First",1998
53,"Second",1998
69,"Second",1998
77,"Second",1998
31,"First",1998
55,"Second",1998
73,"Second",1998
78,"Second",1998
83,"Second",1998
36,"First",1998
74,"Second",1998
39,"First",1998
54,"Second",1998
59,"Second",2002
67,"Second",2002
57,"Second",2002
75,"Second",2002
59,"Second",2002
64,"Second",2002
51,"Second",2002
17,"First",2002
13,"First",2002
48,"Second",2002
75,"Second",2002
7,"First",2002
78,"Second",2002
82,"Second",2002
52,"Second",2002
88,"Second",2002
13,"First",2006
17,"First",2006
48,"Second",2006
81,"Second",2006
23,"First",2006
92,"Second",2006
57,"Second",2006
84,"Second",2006
4,"First",2006
36,"First",2006
46,"Second",2006
84,"Second",2006
71,"Second",2006
76,"Second",2006
91,"Second",2006
8,"First",2006
36,"First",2006
70,"Second",2006
34,"First",2010
52,"Second",2010
75,"Second",2010
17,"First",2010
51,"Second",2010
47,"Second",2010
24,"First",2010
37,"First",2010
70,"Second",2014
80,"Second",2014
25,"First",2014
74,"Second",2014
68,"Second",2014
88,"Second",2014
50,"Second",2014
72,"Second",2014
26,"First",2014
28,"First",2014
38,"First",2014
62,"Second",2014
78,"Second",2014
60,"Second",2014
6,"First",2014
